YEAR,ID,ARCHITECTURE,TECHNOLOGY,VENUE,ENOB,FS_HZ,P_W,P_W_PRED,AREA_MM2,AREA_UM2_PRED,FOMW_DERIVED_FJ,FOMA_DERIVED_UM2
2000,2.7,Pipe,0.5,ISSCC,11.85049833887043,20000000.0,0.72,0.0014771188994642196,10.8,1477118.8994642193,9748.70743663436,58.49224461980617
2001,8.1,Flash,0.35,ISSCC,5.5215946843853825,1300000000.0,0.545,0.0011943702352934411,0.8,282.6911799511103,9126.148390094479,22639.54609799584
2001,8.2,Flash,0.35,ISSCC,5.65,1100000000.0,0.3,0.0011046944098386253,0.35,365.1882346573967,5431.366309599128,7667.278773717436
2001,8.3,Pipe,0.18,ISSCC,9.196013289036545,100000000.0,0.18,0.0011730211324820483,2.5,46920.84529928194,3068.998418112551,426.2497802934099
2001,8.4,Two-Step,0.25,ISSCC,10.837209302325581,54000000.0,0.295,0.0019758265856955367,1.0,271032.4534561779,2986.0920197726073,29.516760439514993
2001,8.5,Pipe,0.35,ISSCC,11.800664451827242,75000000.0,0.318,0.005351126623896114,7.8,380524.55992150144,1188.5347604369215,163.98415916405636
2001,8.6,Pipe,0.60 BiCMOS,ISSCC,12.0,40000000.0,0.86,0.0032768,31.35,819200.0,5249.0234375,306.15234375
2002,10.1,"Pipe, TI",0.35,ISSCC,6.2,4000000000.0,4.6,0.005881335577584819,28.8456,147.0333894396205,15642.70543422723,1569472.0830384174
2002,10.2,Flash,0.18,ISSCC,5.0,1320000000.0,0.34,0.0008448,0.12,193.93939393939394,8049.242424242424,4950.0
2002,10.3,Folding,0.18,ISSCC,5.687707641196014,450000000.0,0.05,0.0004638879762959072,0.3,916.3219284857427,2155.6928635764316,2619.166829245364
2002,10.4,"Pipe, TI",0.35,ISSCC,9.142857142857144,120000000.0,0.234,0.001356705194402382,12.5,37686.25540006616,3449.53348694261,2653.4872976481615
2002,10.5,Pipe,0.3,ISSCC,8.677740863787376,30000000.0,0.016,0.0002457036142910082,3.12,109201.6063515592,1302.382144126688,228.56806629423374
2002,10.6,SAR,0.13,ISSCC,8.843853820598008,20000000.0,0.012,0.00018379143497915915,0.08,183791.43497915912,1305.82798935769,3.482207971620507
2002,18.2,Flash,0.13,ISSCC,5.18936877076412,22000000.0,0.00046,1.6054926993740865e-05,0.3,13268.534705570964,573.0328143869286,180.87905358474356
2002,18.4,Pipe,0.6,ISSCC,11.03654485049834,21000000.0,0.03,0.0008822269876789572,2.56,800205.8845160608,680.0970820202796,25.59341339058717
2002,18.5,Pipe,0.35 BiCMOS,ISSCC,11.335548172757475,50000000.0,0.715,0.0025842826821819067,6.0,413485.229149105,5533.450383967487,116.08637169162563
2003,18.1,"Pipe, TI",0.18,ISSCC,4.6,20000000000.0,10.0,0.009700586025666546,196.0,9.700586025666546,20617.311105826477,161639719.0696796
2003,18.3,"Flash, TI",0.18,ISSCC,4.691029900332226,2000000000.0,0.31,0.0010332387893600835,0.5,103.32387893600834,6000.54901523766,38713.219453146194
2003,18.4,Pipe,0.18,ISSCC,9.38,80000000.0,0.069,0.0010660592479780325,1.85,66628.70299862704,1294.48715220792,222.1264910455329
2003,18.5,Pipe,0.18,ISSCC,8.345514950166114,150000000.0,0.123,0.000975824199471531,2.2,17347.985768382776,2520.9458848553268,1014.5270024417779
2003,18.6,Pipe,0.35,ISSCC,10.837209302325581,75000000.0,0.29,0.002744203591243801,7.9,195143.36648844808,2113.5458092492213,323.86445482245614
2003,18.7,Pipe,0.35 BiCMOS,ISSCC,11.8,70000000.0,1.0,0.004992085150165297,25.0,407517.1551155344,4006.3419189349697,490.7768850695338
2004,14.1,"Folding, TI",0.18,ISSCC,7.3156146179401995,1600000000.0,1.2690000000000001,0.005097642970769215,8.0,796.5067141826898,4978.771590229721,80350.86065240715
2004,14.2,Folding,0.18,ISSCC,7.5,600000000.0,0.2,0.0021722320318050743,0.2,2413.5911464500823,1841.4239093399676,662.9126073623883
2004,14.3,Pipe,0.13,ISSCC,8.179401993355482,220000000.0,0.135,0.0012755515742309631,1.3,10541.748547363331,2116.731345518385,986.55360192605
2004,14.4,"Pipe, TI",0.18,ISSCC,7.249169435215947,150000000.0,0.071,0.00045639270957093203,1.8,8113.648170149903,3111.3555721233647,1774.7873333943137
2004,14.5,Two-Step,0.13,ISSCC,7.6,125000000.0,0.021,0.00048502930128332733,0.09,12416.750112853179,865.9270664447121,57.986187485136966
2004,14.6,Flash,0.12 SiGe,ISSCC,3.0299003322259135,40000000000.0,3.8,0.006534026189415307,3.96,1.6335065473538268,11631.419556155895,19393861.65994836
2004,14.7,"SAR, TI",0.09,ISSCC,4.857142857142858,600000000.0,0.01,0.0003477978870773403,,386.4420967526003,575.0466217051104,
2004,25.1,Pipe,0.18,ISSCC,11.667774086378737,40000000.0,0.394,0.002602795035030406,20.0,650698.7587576014,3027.5146117711674,245.88951161593238
2004,25.2,Pipe,0.18,ISSCC,12.0,20000000.0,0.233,0.0016384,11.22,1638400.0,2844.23828125,54.78515625
2004,25.3,Pipe,0.25,ISSCC,12.16611295681063,50000000.0,0.78,0.004595840316677333,5.55,735334.4506683733,3394.3738087223996,60.38068794361962
2004,25.4,Pipe,0.18,ISSCC,11.933554817275747,10000000.0,0.112,0.0007823263362028471,15.0,3129305.3448113883,2863.255263618272,38.34716870917329
2004,25.5,Pipe,0.25,ISSCC,11.767441860465116,80000000.0,0.755,0.005577928652496894,19.6,348620.54078105587,2707.09808976145,449.7726945426176
2004,25.6,Pipe,0.13,ISSCC,9.0,80000000.0,0.033,0.0008192,0.3,51200.0,805.6640625,46.875
2004,25.7,Pipe,0.18,ISSCC,9.840531561461795,30000000.0,0.35,0.0005501060529986886,15.96,244491.57911052828,12724.819081415717,522.2265751013011
2005,15.2,Pipe,0.09,ISSCC,8.445182724252494,12000000.0,0.0033,8.364973328710093e-05,0.3,232360.37024194704,789.0043088777836,10.328783679854622
2005,15.3,"Pipe, Scalable",0.18,ISSCC,8.843853820598008,50000000.0,0.035,0.00045947858744789787,1.2,73516.57399166365,1523.4659875839718,130.582798935769
2005,15.4,Pipe,0.18,ISSCC,8.627906976744187,125000000.0,0.04,0.0009890057315832992,0.66,25318.546728532463,808.8931888385317,208.54277524743398
2005,15.5,Pipe,0.18,ISSCC,7.5647840531561465,200000000.0,0.03,0.0007573330364109952,0.15,7573.330364109953,792.253831740132,158.45076634802643
2006,12.1,Pipe,0.09,ISSCC,9.3,64000000.0,0.022,0.0008068428027297248,0.3,78793.24245407469,545.3354711864372,30.459464863358814
2006,12.2,Pipe,0.18,ISSCC,8.777408637873755,50000000.0,0.018,0.0004387966307150555,1.43,70207.46091440888,820.425624994773,162.94564496423965
2006,12.3,"Two-Step, Subranging",0.09,ISSCC,10.1,40000000.0,0.03,0.0008779968205097312,4.6728,219499.2051274328,683.3737730982477,170.30767823645292
2006,12.4,"Pipe, CBSC",0.18,ISSCC,8.677740863787376,8000000.0,0.0025,6.552096381093552e-05,1.2,409506.02381834696,763.1145375742313,23.442878594280387
2006,12.5,SAR,0.18,ISSCC,10.50498338870432,100000.0,2.5e-05,2.906331169597161e-06,0.63,116253246.78388643,172.03820584193912,0.043353627872168655
2006,12.6,Pipe,0.13,ISSCC,10.67109634551495,100000000.0,0.224,0.0032609946198365767,1.02,130439.78479346307,1373.813980786179,62.55760091079922
2006,12.7,Pipe,0.13,ISSCC,9.209302325581397,50000000.0,0.015,0.0005919380249982278,0.2,94710.08399971646,506.8098134106152,16.89366044702051
