rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,run_accuracy,enable_saf,enable_variation,enable_rratio,fixed_qrange,accuracy_target,latency_ns,energy_nj,area_um2,power_w,accuracy,run_id,trial_dir,algo,seed,eval_index,phase,elapsed_s,is_pareto,nn,dataset_module,weights_path,base_config_path,device,space_profile,dataset_signature
P2,128x128,4,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.90234375,run_20260409_210241,matrixcsv_seed42,matrixcsv,42,1,matrix_A,500.68502712249756,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,128x128,4,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,14995379.256951638,14234031.53552794,2354348727.1181145,433.3304938920804,0.919921875,run_20260409_210241,matrixcsv_seed42,matrixcsv,42,2,matrix_A,502.0793967247009,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,128x128,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.892578125,run_20260409_210241,matrixcsv_seed42,matrixcsv,42,3,matrix_A,492.089213848114,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,128x128,6,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,14995379.256951638,14234031.53552794,3018330807.1181145,433.3304938920804,0.9345703125,run_20260409_210241,matrixcsv_seed42,matrixcsv,42,4,matrix_A,491.92120695114136,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,512x512,4,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9296875,run_20260409_210241,matrixcsv_seed42,matrixcsv,42,5,matrix_A,162.5419638156891,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,512x512,4,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,17346484.969408944,5309737.221154697,1078847382.6426022,31.531321697326867,0.923828125,run_20260409_210241,matrixcsv_seed42,matrixcsv,42,6,matrix_A,161.93079900741577,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,512x512,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9296875,run_20260409_210241,matrixcsv_seed42,matrixcsv,42,7,matrix_A,165.85716915130615,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P2,512x512,6,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.923828125,run_20260409_210241,matrixcsv_seed42,matrixcsv,42,8,matrix_A,166.19965624809265,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P3,128x128,4,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.84375,run_20260409_213950,matrixcsv_seed42,matrixcsv,42,1,matrix_A,499.5961043834686,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
P3,128x128,4,32,2,1,1,4x4,2,80,1,1,1,0,0,0.88,14995379.256951638,14234031.53552794,2354348727.1181145,433.3304938920804,0.830078125,run_20260409_213950,matrixcsv_seed42,matrixcsv,42,2,matrix_A,498.107693195343,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,mps,rram_v2,0c8d25acb84e
