algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
random,43,13,random,4409793.766970463,2710071.43749955,1214372305.7989137,111.92584879854581,0.921875,28.45857524871826,0,P2,256x256,4,128,2,1,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,43,14,random,4230255.898565065,5735710.703200261,3083612557.758293,845.1078199484215,0.9033203125,55.70421361923218,1,P1,128x128,6,128,2,0,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,43,15,random,17253241.077972222,18109370.277377084,1253716451.8830352,221.8330968625761,0.81640625,30.930346250534058,0,P3,256x256,4,32,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.06359375}"
random,43,16,random,13803146.57882686,12251033.734564388,2304705207.1181145,512.4120189104947,0.6748046875,53.41041541099548,0,P3,128x128,7,32,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.2051953125}"
random,43,17,random,15608940.99984729,9301756.37728024,1239790051.8830352,133.72045686257607,0.91796875,30.075745820999146,0,P2,256x256,7,32,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,43,18,random,3513687.6067524604,3258052.8706482616,2378230157.7582936,506.9932599484214,0.10546875,54.39585828781128,0,P2,128x128,7,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.77453125}"
random,43,19,random,16061241.711727688,5524223.1396305,1440269450.4436033,114.17401119233325,0.923828125,29.78264331817627,0,P1,256x256,6,128,2,1,1,4x4,2,40,"{""accuracy_violation"": 0.0}"
random,43,20,random,13306322.45549154,7533624.284150348,2305310210.7135515,518.5815764296048,0.10546875,52.500407457351685,0,P1,128x128,7,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.77453125}"
random,43,21,random,4831206.264182526,1248300.8586948751,894144505.3005514,30.12938593901255,0.923828125,18.062636137008667,0,P1,512x512,4,128,2,1,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,43,22,random,14995379.256951638,14234031.53552794,2354348727.1181145,433.3304938920804,0.9296875,55.342992544174194,0,P2,128x128,4,32,2,1,1,4x4,2,80,"{""accuracy_violation"": 0.0}"
random,43,23,random,4782428.9897932075,9447367.799596138,2426702222.653233,428.90037651148873,0.8759765625,52.431421518325806,0,P3,128x128,4,32,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0040234375000000044}"
random,43,24,random,4782428.9897932075,9447367.799596138,3083014542.653233,428.90037651148873,0.9296875,52.14581775665283,0,P1,128x128,6,32,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}"
random,43,25,random,16398727.780198477,3840969.476307728,1077683642.1178398,62.41514185520663,0.9189453125,18.72859835624695,0,P2,512x512,4,128,2,0,1,4x4,3,80,"{""accuracy_violation"": 0.0}"
random,43,26,random,16061241.711727688,7351940.307022113,1253533138.1236033,223.42960920834463,0.8447265625,28.489633798599243,0,P3,256x256,4,128,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.035273437500000004}"
random,43,27,random,5807126.4143311875,2698263.8689908637,885051371.3802106,34.47483540250036,0.8701171875,16.86147975921631,0,P3,512x512,7,32,2,0,1,2x2,3,40,"{""accuracy_violation"": 0.009882812500000004}"
random,43,28,random,5598586.01195691,7803522.713430056,1214545914.7122579,110.9133416567962,0.923828125,28.33804225921631,0,P2,256x256,4,32,2,1,1,2x2,3,80,"{""accuracy_violation"": 0.0}"
random,43,29,random,14539953.633602642,4818287.912205274,1239606738.1236033,135.3169692083446,0.7548828125,30.791943073272705,0,P3,256x256,7,128,2,0,1,4x4,2,40,"{""accuracy_violation"": 0.1251171875}"
