算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
nsga2,44,31,gen_6,4698711.625120114,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,15.918679475784302,0,P2,512x512,7,128,2,1,1,2x2,3,40,"{""generation"": 6, ""accuracy_violation"": 0.0}"
nsga2,44,32,gen_6,4318012.56697033,2710071.43749955,1390776785.7989135,111.92584879854581,0.9150390625,24.54013156890869,0,P2,256x256,6,128,2,1,1,2x2,2,80,"{""generation"": 6, ""accuracy_violation"": 0.0}"
nsga2,44,33,gen_7,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91796875,15.75827431678772,1,P2,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 7, ""accuracy_violation"": 0.0}"
nsga2,44,34,gen_7,3996809.72790796,2314460.7570470907,1200737393.5429137,131.01629457350816,0.8857421875,24.600658893585205,1,P1,256x256,7,128,2,0,1,2x2,3,80,"{""generation"": 7, ""accuracy_violation"": 0.0}"
nsga2,44,35,gen_7,4318012.56697033,2710071.43749955,1390776785.7989135,111.92584879854581,0.919921875,23.972410202026367,0,P1,256x256,6,128,2,1,1,2x2,2,80,"{""generation"": 7, ""accuracy_violation"": 0.0}"
nsga2,44,36,gen_7,4318012.56697033,4438871.811947091,1390330993.5429137,218.2687745735082,0.8779296875,23.105721712112427,0,P2,256x256,6,128,2,0,1,2x2,2,80,"{""generation"": 7, ""accuracy_violation"": 0.0020703125000000044}"
nsga2,44,37,gen_8,4318012.56697033,2710071.43749955,1214372305.7989137,111.92584879854581,0.9111328125,23.486854314804077,0,P1,256x256,4,128,2,1,1,2x2,2,80,"{""generation"": 8, ""accuracy_violation"": 0.0}"
nsga2,44,38,gen_8,4318012.56697033,4438871.811947091,1390330993.5429137,218.2687745735082,0.931640625,22.949093103408813,0,P1,256x256,6,128,2,0,1,2x2,2,80,"{""generation"": 8, ""accuracy_violation"": 0.0}"
nsga2,44,39,gen_8,4177721.7279078932,1589700.9585995504,1201183185.7989137,68.2906487985458,0.8427734375,24.079449892044067,0,P2,256x256,7,128,2,1,1,2x2,2,40,"{""generation"": 8, ""accuracy_violation"": 0.037226562500000004}"
nsga2,44,40,gen_8,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9189453125,16.064188957214355,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 8, ""accuracy_violation"": 0.0}"
nsga2,44,41,gen_9,4318012.56697033,2710071.43749955,1214372305.7989137,111.92584879854581,0.9150390625,24.779131650924683,0,P2,256x256,4,128,2,1,1,2x2,2,80,"{""generation"": 9, ""accuracy_violation"": 0.0}"
nsga2,44,42,gen_9,4398971.225120035,1077230.9208284174,884941383.1245514,35.34259701478249,0.9248046875,16.189075231552124,0,P2,512x512,7,128,2,0,1,2x2,3,80,"{""generation"": 9, ""accuracy_violation"": 0.0}"
nsga2,44,43,gen_9,4698711.625120114,797588.8653504751,885788665.3005514,18.642665939012545,0.9208984375,16.01987314224243,0,P1,512x512,7,128,2,1,1,2x2,3,40,"{""generation"": 9, ""accuracy_violation"": 0.0}"
