算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,35,random,4610985.482982667,1035970.5633224761,1005108598.2285513,60.20395128678248,,2.1804659366607666,0,512x512,6,3,2x2,1,80,512,{}
random,44,36,random,28643071.325022746,6853831.857660688,2344834175.536916,75.36158742494106,,2.702469825744629,0,512x512,6,2,8x8,1,80,512,{}
random,44,37,random,12024178.947289012,1693195.326723247,1004185616.1338401,9.127847919206628,,2.1679060459136963,0,512x512,8,2,4x4,2,80,2048,{}
random,44,38,random,3688343.5678964313,1359668.67730058,1200819495.8149135,134.33515127750815,,2.6558847427368164,0,256x256,7,3,2x2,2,80,1024,{}
random,44,39,random,11801864.514921673,2686115.3054760257,1152769715.4036033,27.529939736344616,,2.8822526931762695,0,256x256,8,2,4x4,0,40,2048,{}
random,44,40,random,38076636.87044523,14010691.921595788,1624323961.586589,155.26274515759715,,3.584016799926758,0,256x256,7,4,8x8,0,80,1024,{}
random,44,41,random,4961910.986937417,1329213.4080361456,1005073921.4925513,59.44778808678249,,2.54630184173584,0,512x512,6,2,2x2,3,40,2048,{}
random,44,42,random,8550605.606958969,2159155.28117978,1390522565.5109138,224.07489527750815,,2.3684370517730713,0,256x256,6,4,2x2,0,10,1024,{}
random,44,43,random,16174122.325560857,2856008.628690927,1077831188.22984,66.08759987120662,,2.2305190563201904,0,512x512,4,4,4x4,1,40,2048,{}
random,44,44,random,4466286.527476937,1373467.2521997802,1200928965.5109136,136.82241527750816,,2.754584789276123,0,256x256,7,4,2x2,1,40,1024,{}
random,44,45,random,3981011.355787073,1373467.2521997802,1200928965.5109136,136.82241527750816,,2.312812089920044,0,256x256,7,4,2x2,0,80,512,{}
random,44,46,random,16450722.158763757,2305871.6484396267,1067673108.2298399,41.83287987120663,,1.8904497623443604,0,512x512,7,4,4x4,3,20,512,{}
random,44,47,random,4577262.083902259,431721.2155879321,832873846.2285514,8.600673318782485,,1.7714908123016357,1,512x512,8,3,2x2,1,20,1024,{}
random,44,48,random,16851572.72556066,2837962.093420527,1077746876.16584,64.44947507120662,,1.9281361103057861,0,512x512,4,3,4x4,2,20,2048,{}
random,44,49,random,14317530.95876382,2305871.6484396267,1067673108.2298399,41.83287987120663,,1.7887852191925049,0,512x512,7,4,4x4,2,80,512,{}
random,44,50,random,28893423.105638716,6511346.114991731,2345078952.496916,78.10182102494106,,3.051630973815918,0,512x512,6,4,8x8,1,20,512,{}
random,44,51,random,18219724.802030817,5740412.947882585,1253562035.4036033,225.52706636034463,,3.086439847946167,0,256x256,4,2,4x4,0,10,512,{}
random,44,52,random,8324184.003493859,4448843.521209404,1390330993.5429137,219.72218327750815,,3.32417893409729,0,256x256,6,1,2x2,1,10,2048,{}
random,44,53,random,16816516.315013733,2837962.093420527,1077746876.16584,64.44947507120662,,3.203942060470581,0,512x512,4,3,4x4,1,20,512,{}
random,44,54,random,15738016.381937448,7362470.008665147,1439798738.1236033,224.8973879603446,,2.7190771102905273,0,256x256,6,1,4x4,0,40,1024,{}
random,44,55,random,42458912.914852716,19111511.34162109,1887839826.6745892,246.8972587575972,,3.3688578605651855,0,256x256,6,1,8x8,1,40,512,{}
