算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
mobo,43,30,mobo,4318012.56697033,4438871.811947091,1213926513.5429137,218.2687745735082,0.9140625,40.17042851448059,0,P2,256x256,4,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.27950828399641175, 0.5229445607459956, 0.07745560311888246, 0.12009155213871019], ""accuracy_violation"": 0.0}"
mobo,43,31,mobo,13013384.055491323,6701703.556800941,2305310210.7135515,268.2414235679906,0.10546875,82.12443995475769,0,P1,128x128,7,128,2,1,1,4x4,2,80,"{""parego_weight"": [0.032583364314309214, 0.33361622776933875, 0.5627254351850624, 0.07107497273128986], ""accuracy_violation"": 0.77453125}"
mobo,43,32,mobo,4318012.56697033,2710071.43749955,1390776785.7989135,111.92584879854581,0.9228515625,40.127479553222656,0,P1,256x256,6,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.17117687021515668, 0.3232141730218908, 0.34898884100525285, 0.1566201157576996], ""accuracy_violation"": 0.0}"
mobo,43,33,mobo,4831206.264182526,1248300.8586948751,894144505.3005514,30.12938593901255,0.92578125,26.000673532485962,0,P1,512x512,4,128,2,1,1,2x2,3,80,"{""parego_weight"": [0.34290834777882256, 0.1449758444201184, 0.47654953316565274, 0.03556627463540631], ""accuracy_violation"": 0.0}"
mobo,43,34,mobo,16398727.780198477,3079493.9685379486,1078713671.42984,32.14098126098556,0.9287109375,25.44046974182129,0,P1,512x512,4,128,2,1,1,4x4,3,80,"{""parego_weight"": [0.4550170283495751, 0.04099746083294498, 0.44893470787991235, 0.05505080293756746], ""accuracy_violation"": 0.0}"
mobo,43,35,mobo,17346484.969408944,8301107.3894352,1213681673.3306022,61.49106071866793,0.8359375,25.671339988708496,0,P3,512x512,6,32,2,0,1,4x4,2,80,"{""parego_weight"": [0.26587675378957776, 0.006484072118195459, 0.00581163762808903, 0.7218275364641378], ""accuracy_violation"": 0.044062500000000004}"
mobo,43,36,mobo,13953466.833602492,4050101.962733661,1240077450.4436033,70.10873119233327,0.8837890625,39.970003604888916,0,P1,256x256,7,128,2,1,1,4x4,2,80,"{""parego_weight"": [0.03021351592468007, 0.26731612527917115, 0.14705528493516823, 0.5554150738609805], ""accuracy_violation"": 0.0}"
mobo,43,37,mobo,15474754.911727443,7351940.307022113,1253533138.1236033,223.42960920834463,0.9169921875,40.066534757614136,0,P1,256x256,4,128,2,0,1,4x4,2,80,"{""parego_weight"": [0.034893801404512044, 0.006159484065356619, 0.019242741156025846, 0.9397039733741056], ""accuracy_violation"": 0.0}"
mobo,43,38,mobo,4559949.225119956,797588.8653504751,885788665.3005514,18.642665939012545,0.9189453125,25.56291127204895,0,P1,512x512,7,128,2,1,1,2x2,2,40,"{""parego_weight"": [0.2020544193540267, 0.15867451620774525, 0.32925682706317144, 0.3100142373750566], ""accuracy_violation"": 0.0}"
mobo,43,39,mobo,3905028.5279078325,2314460.7570470907,1200737393.5429137,131.01629457350816,0.8818359375,40.18440079689026,1,P1,256x256,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.32532533542649245, 0.4888089822791522, 0.05907130455083586, 0.12679437774351943], ""accuracy_violation"": 0.0}"
mobo,43,40,mobo,6067169.053393581,3193060.1506895665,894254493.5562104,29.559223145690417,0.931640625,25.514025926589966,0,P1,512x512,4,32,2,1,1,2x2,3,80,"{""parego_weight"": [0.17508984663181548, 0.33355364220948636, 0.4195580657715336, 0.07179844538716451], ""accuracy_violation"": 0.0}"
mobo,43,41,mobo,5505547.211956913,14625424.620446535,1214100122.456258,216.6891077170386,0.9296875,39.784642934799194,0,P2,256x256,4,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.4551736267921811, 0.3796573542148031, 0.07357599460503868, 0.09159302438797712], ""accuracy_violation"": 0.0}"
mobo,43,42,mobo,4992184.264182465,1248300.8586948751,894144505.3005514,30.12938593901255,0.9326171875,25.427324295043945,0,P1,512x512,4,128,2,1,1,2x2,2,40,"{""parego_weight"": [0.034389663887799814, 0.3499887508433797, 0.16590943149919818, 0.44971215376962226], ""accuracy_violation"": 0.0}"
mobo,43,43,mobo,4398971.225120035,797588.8653504751,885788665.3005514,18.642665939012545,0.927734375,25.743247509002686,0,P1,512x512,7,128,2,1,1,2x2,3,80,"{""parego_weight"": [0.404883678213719, 0.14996889492675128, 0.045581572969883175, 0.39956585388964655], ""accuracy_violation"": 0.0}"
mobo,43,44,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,25.526674032211304,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.4947277550232444, 0.3004268143848417, 0.08859661859151002, 0.11624881200040388], ""accuracy_violation"": 0.0}"
mobo,43,45,mobo,5130946.664182619,1248300.8586948751,894144505.3005514,30.12938593901255,0.7705078125,25.762606143951416,0,P3,512x512,4,128,2,1,1,2x2,3,40,"{""parego_weight"": [0.5805778164113562, 0.0590868057193634, 0.0519203127282623, 0.3084150651410181], ""accuracy_violation"": 0.1094921875}"
mobo,43,46,mobo,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.91796875,25.26515221595764,0,P2,512x512,6,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.683072896849716, 0.028971118176527855, 0.09937080265565557, 0.18858518231810062], ""accuracy_violation"": 0.0}"
mobo,43,47,mobo,4965273.172894366,3712638.327330056,1201356794.7122579,67.27814165679622,0.921875,40.307334184646606,0,P1,256x256,7,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.1401752681023466, 0.39840377844584784, 0.07695838196314211, 0.3844625714886635], ""accuracy_violation"": 0.0}"
mobo,43,48,mobo,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.7607421875,25.59977960586548,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.24102576658357933, 0.3415695654417191, 0.04017388521954537, 0.3772307827551561], ""accuracy_violation"": 0.1192578125}"
