xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,run_accuracy,enable_saf,enable_variation,enable_rratio,fixed_qrange,latency_ns,energy_nj,area_um2,power_w,accuracy,run_id,trial_dir,algo,seed,eval_index,phase,elapsed_s,is_pareto,nn,dataset_module,weights_path,base_config_path,device,dataset_signature
256x256,6,4,2x2,1,80,512,0,1,0,0,0,4329215.693492557,2159155.28117978,1390522565.5109138,224.07489527750815,,run_20260408_172349,random_seed43,random,43,36,random,2.7847979068756104,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,2,4x4,3,20,1024,0,1,0,0,0,16518230.0633045,2427376.4603257873,1067546640.1338401,39.37569267120663,,run_20260408_172349,random_seed43,random,43,37,random,2.4444806575775146,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,8,3,2x2,2,10,1024,0,1,0,0,0,5101182.408373303,431721.2155879321,832873846.2285514,8.600673318782485,,run_20260408_172349,random_seed43,random,43,38,random,2.2480640411376953,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,4,4,8x8,0,10,1024,0,1,0,0,0,29326739.317357473,6511346.114991731,2082115752.496916,78.10182102494106,,run_20260408_172349,random_seed43,random,43,39,random,2.6523492336273193,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,8,4,4x4,3,20,512,0,1,0,0,0,13556913.134898864,2699413.1621822165,1152943099.0836034,31.308010136344617,,run_20260408_172349,random_seed43,random,43,40,random,3.2085912227630615,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,4,2x2,1,40,2048,0,1,0,0,0,4942951.167552979,1050973.7837000762,1005177951.7005513,61.716277686782476,,run_20260408_172349,random_seed43,random,43,41,random,2.249608039855957,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,8,4,8x8,0,10,512,0,1,0,0,0,33485909.249742113,11148534.397241248,1509865337.586589,35.008845925597164,,run_20260408_172349,random_seed43,random,43,42,random,3.6068551540374756,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,7,1,4x4,3,40,1024,0,1,0,0,0,14692600.033602625,4828817.613848307,1239606738.1236033,136.7847479603446,,run_20260408_172349,random_seed43,random,43,43,random,2.3780102729797363,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,4,4,2x2,2,80,2048,0,1,0,0,0,4079793.0434823837,2159155.28117978,1214118085.5109136,224.07489527750815,,run_20260408_172349,random_seed43,random,43,44,random,2.638089895248413,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,2,4x4,0,10,2048,0,1,0,0,0,16626571.505882403,2427376.4603257873,1067546640.1338401,39.37569267120663,,run_20260408_172349,random_seed43,random,43,45,random,2.09436297416687,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,6,3,8x8,2,80,512,0,1,0,0,0,42092238.23567943,16326480.400301907,1887954055.922589,248.95140435759717,,run_20260408_172349,random_seed43,random,43,46,random,2.649721145629883,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,4,3,4x4,1,10,1024,0,1,0,0,0,17938983.032554843,4931765.080326505,1253619829.9636033,226.78642316034464,,run_20260408_172349,random_seed43,random,43,47,random,2.933089017868042,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,3,8x8,2,20,1024,0,1,0,0,0,28878508.117357466,6494229.481494131,2344915767.856916,76.27499862494106,,run_20260408_172349,random_seed43,random,43,48,random,2.847223997116089,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,1,4x4,1,10,512,0,1,0,0,0,18358276.973166734,3849696.154141408,1213547962.1178398,63.220881471206624,,run_20260408_172349,random_seed43,random,43,49,random,1.9367296695709229,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,8,4,4x4,3,10,1024,0,1,0,0,0,16573332.726732738,1711464.6973871668,1004312084.2298402,11.585035119206628,,run_20260408_172349,random_seed43,random,43,50,random,1.9666070938110352,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,6,3,2x2,2,40,512,0,1,0,0,0,4348449.933911952,2145356.7062805803,1390413095.8149137,221.58763127750822,,run_20260408_172349,random_seed43,random,43,51,random,2.544969320297241,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,8,1,2x2,1,10,2048,0,1,0,0,0,7251254.9546656925,716152.2491661077,1118470257.5429137,23.657914509508167,,run_20260408_172349,random_seed43,random,43,52,random,2.516953229904175,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,4,2x2,0,40,512,0,1,0,0,0,4949018.882982666,1050973.7837000762,1005177951.7005513,61.716277686782476,,run_20260408_172349,random_seed43,random,43,53,random,2.3412463665008545,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,7,3,4x4,2,10,2048,0,1,0,0,0,17840539.347007923,3810823.2339896653,1239693429.9636033,138.67378316034458,,run_20260408_172349,random_seed43,random,43,54,random,3.1713831424713135,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,7,1,4x4,1,40,512,0,1,0,0,0,14190510.448446387,4828817.613848307,1239606738.1236033,136.7847479603446,,run_20260408_172349,random_seed43,random,43,55,random,3.831760883331299,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,1,4x4,2,80,1024,0,1,0,0,0,14533920.102073267,2712279.8266901076,1067525562.1178398,38.966161471206625,,run_20260408_172349,random_seed43,random,43,56,random,2.4366259574890137,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,3,4x4,0,40,1024,0,1,0,0,0,14621360.643920232,2287825.113169227,1067588796.1658399,40.19475507120662,,run_20260408_172349,random_seed43,random,43,57,random,2.5765397548675537,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,7,4,4x4,0,10,512,0,1,0,0,0,16650120.959343491,3825636.247186465,1239809019.0836034,141.1924967603446,,run_20260408_172349,random_seed43,random,43,58,random,3.0257070064544678,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,4,2x2,0,10,2048,0,1,0,0,0,6546074.5735507645,728585.5932356762,885062751.7005514,38.75179768678249,,run_20260408_172349,random_seed43,random,43,59,random,2.3976261615753174,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,6,2,2x2,1,10,2048,0,1,0,0,0,8163711.36348631,2911707.225850988,1390358360.9669135,220.3439992775082,,run_20260408_172349,random_seed43,random,43,60,random,2.775081157684326,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,6,4,4x4,3,80,1024,0,1,0,0,0,15309598.232554868,4946578.093523305,1440001019.0836034,229.3051367603446,,run_20260408_172349,random_seed43,random,43,61,random,2.493011951446533,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,8,3,4x4,2,10,2048,0,1,0,0,0,15587240.288414188,2684600.1489854166,1152827509.9636033,28.789296536344615,,run_20260408_172349,random_seed43,random,43,62,random,2.7601568698883057,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,4,2,8x8,2,20,512,0,1,0,0,0,28973853.725023177,6853831.857660688,2081870975.5369163,75.36158742494106,,run_20260408_172349,random_seed43,random,43,63,random,2.999666929244995,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,3,4x4,1,10,1024,0,1,0,0,0,16550206.243920477,2287825.113169227,1067588796.1658399,40.19475507120662,,run_20260408_172349,random_seed43,random,43,64,random,2.19352388381958,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,2,8x8,3,20,1024,0,1,0,0,0,29432971.13674193,6853831.857660688,2344834175.536916,75.36158742494106,,run_20260408_172349,random_seed43,random,43,65,random,2.6669909954071045,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,8,3,8x8,2,40,512,0,1,0,0,0,32475344.449743055,11132178.592466848,1509713031.9225888,32.26998512559716,,run_20260408_172349,random_seed43,random,43,66,random,3.0249900817871094,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
