算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,44,42,random,7032343.78286642,1102740.4859567464,2219654033.1447506,354.1522967938272,,4.10376501083374,0,256x256,6,4,2x2,0,10,1024,{}
random,44,43,random,10151200.117626341,1422552.7231880806,1634131156.348467,103.31381408581679,,3.207245111465454,0,512x512,4,4,4x4,1,40,2048,{}
random,44,44,random,2938024.2010785,713792.8179359464,1917010833.14475,216.34749679382722,,4.304750919342041,0,256x256,7,4,2x2,1,40,1024,{}
random,44,45,random,2741233.8738991986,713792.8179359464,1917010833.14475,216.34749679382722,,3.7456328868865967,0,256x256,7,4,2x2,0,80,512,{}
random,44,46,random,9916871.140180953,1155571.9243008406,1618730196.348467,65.48469408581681,,3.367830991744995,0,512x512,7,4,4x4,3,20,512,{}
random,44,47,random,3327104.1004389217,247921.65228251895,1339130497.857671,13.755115679509586,,3.24896502494812,1,512x512,8,3,2x2,1,20,1024,{}
random,44,48,random,10462215.031977948,1412238.5962376806,1634003328.380467,100.6683036858168,,3.437716007232666,0,512x512,4,3,4x4,2,20,2048,{}
random,44,49,random,9124743.025829513,1155571.9243008406,1618730196.348467,65.48469408581681,,3.7539730072021484,0,512x512,7,4,4x4,2,80,512,{}
random,44,50,random,17174430.80658733,3506169.0367705817,3595787727.161937,145.5344309611096,,3.9248011112213135,0,512x512,6,4,8x8,1,20,512,{}
random,44,51,random,15211389.649583831,3002880.511471623,1976203679.3421512,356.18528463665234,,4.410402059555054,0,256x256,4,2,4x4,0,10,512,{}
random,44,52,random,5554745.752218097,2225907.0456319433,2219348231.9287505,347.1560711938272,,3.8722381591796875,0,256x256,6,1,2x2,1,10,2048,{}
random,44,53,random,10348640.096431043,1412238.5962376806,1634003328.380467,100.6683036858168,,3.528738021850586,0,512x512,4,3,4x4,1,20,512,{}
random,44,54,random,10641342.687322596,3810983.4061792186,2269800363.6301513,355.1700990366523,,5.70180082321167,0,256x256,6,1,4x4,0,40,1024,{}
random,44,55,random,19159596.146810953,9186511.979061246,2831759740.0118837,391.1288879209127,,4.992167949676514,0,256x256,6,1,8x8,1,40,512,{}
random,44,56,random,2267737.4511600616,381121.965840052,1785427885.8167503,38.49559631382723,,4.7489001750946045,1,256x256,8,2,2x2,1,80,1024,{}
random,44,57,random,7692334.907892989,854220.7512186666,1522474966.3964672,14.340070693816806,,3.4147861003875732,0,512x512,8,2,4x4,0,80,1024,{}
random,44,58,random,3220511.400048333,555163.1256014629,1616056961.8576708,95.21702073550958,,3.3503987789154053,0,512x512,6,3,2x2,2,80,512,{}
