algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json
mobo,44,33,mobo,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9287109375,25.724682807922363,0,P1,512x512,4,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.14670616557246077, 0.3315471301293506, 0.1470925598117193, 0.37465414448646933], ""accuracy_violation"": 0.0}"
mobo,44,34,mobo,5598586.01195691,7803522.713430056,1214545914.7122579,110.9133416567962,0.689453125,40.31220579147339,0,P3,256x256,4,32,2,1,1,2x2,3,80,"{""parego_weight"": [0.6467987948050175, 0.12608193031527465, 0.10878725401414424, 0.11833202086556374], ""accuracy_violation"": 0.190546875}"
mobo,44,35,mobo,4001328.28973039,4796870.650564138,2377632142.653233,259.8430965114888,0.49609375,81.06935811042786,0,P3,128x128,7,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.3960506393368118, 0.3445548536010657, 0.19020158447483615, 0.06919292258728649], ""accuracy_violation"": 0.38390625}"
mobo,44,36,mobo,4831206.264182526,1912910.9359328174,893297223.1245514,58.30707701478249,0.91796875,24.495283603668213,0,P1,512x512,4,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.005729685594113507, 0.34676132104707713, 0.4698937016084518, 0.17761529175035773], ""accuracy_violation"": 0.0}"
mobo,44,37,mobo,3905028.5279078325,1589700.9585995504,1201183185.7989137,68.2906487985458,0.8759765625,38.7254536151886,0,P1,256x256,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.21404319244656964, 0.6344121513494574, 0.038902729094024424, 0.11264192710994866], ""accuracy_violation"": 0.0040234375000000044}"
mobo,44,38,mobo,4831206.264182526,1912910.9359328174,1005056583.1245512,58.30707701478249,0.9306640625,24.50054121017456,0,P1,512x512,6,128,2,0,1,2x2,3,80,"{""parego_weight"": [0.32936363033189825, 0.15487521739289503, 0.36879100375343027, 0.1469701485217764], ""accuracy_violation"": 0.0}"
mobo,44,39,mobo,4409793.766970463,2710071.43749955,1390776785.7989135,111.92584879854581,0.92578125,38.53524661064148,0,P1,256x256,6,128,2,1,1,2x2,3,80,"{""parego_weight"": [0.04694381319302589, 0.3664681137774915, 0.22368592913238333, 0.3629021438970992], ""accuracy_violation"": 0.0}"
mobo,44,40,mobo,5244532.7728944225,3712638.327330056,1201356794.7122579,67.27814165679622,0.91015625,38.77588081359863,0,P1,256x256,7,32,2,1,1,2x2,2,40,"{""parego_weight"": [0.15168516146122102, 0.5172307697047897, 0.18731822564885708, 0.14376584318513236], ""accuracy_violation"": 0.0}"
mobo,44,41,mobo,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.921875,24.8630211353302,0,P1,512x512,7,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.33926470242055795, 0.028825908065548425, 0.29828933826098547, 0.33362005125290806], ""accuracy_violation"": 0.0}"
mobo,44,42,mobo,4831206.264182526,1248300.8586948751,894144505.3005514,30.12938593901255,0.75,24.69490337371826,0,P3,512x512,4,128,2,1,1,2x2,3,80,"{""parego_weight"": [0.2337516169652591, 0.05588908072549745, 0.4189106561572157, 0.2914486461520278], ""accuracy_violation"": 0.13}"
mobo,44,43,mobo,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.9189453125,24.583576917648315,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.2859328725921096, 0.23558179786584402, 0.4461114848651595, 0.032373844676886976], ""accuracy_violation"": 0.0}"
mobo,44,44,mobo,4001328.28973039,7975462.3210623,2377632142.653233,500.8237024293112,0.91796875,79.97674083709717,1,P1,128x128,7,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.4613255176384515, 0.4768146395437983, 0.04000232581548311, 0.02185751700226711], ""accuracy_violation"": 0.0}"
mobo,44,45,mobo,15474754.911727443,7351940.307022113,1253533138.1236033,223.42960920834463,0.9228515625,38.56929397583008,0,P1,256x256,4,128,2,0,1,4x4,2,80,"{""parego_weight"": [0.6591729459473942, 0.15270744995014277, 0.0007510789298251466, 0.1873685251726379], ""accuracy_violation"": 0.0}"
mobo,44,46,mobo,4052540.3458149326,3787740.2723677782,2427300237.7582936,432.8685861873989,0.9169921875,79.6680052280426,1,P1,128x128,4,128,2,1,1,2x2,3,80,"{""parego_weight"": [0.06000482262286083, 0.31368687992275557, 0.5255743909943265, 0.1007339064600572], ""accuracy_violation"": 0.0}"
mobo,44,47,mobo,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.69140625,24.84343409538269,0,P3,512x512,4,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.4197274984529834, 0.15724714699360726, 0.09074325599503971, 0.33228209855836965], ""accuracy_violation"": 0.18859375}"
mobo,44,48,mobo,4230255.898565065,5735710.703200261,2427300237.7582936,845.1078199484215,0.9248046875,79.99612736701965,0,P1,128x128,4,128,2,0,1,2x2,2,40,"{""parego_weight"": [0.16335472370070145, 0.4445590938556601, 0.3918710161745897, 0.00021516626904865708], ""accuracy_violation"": 0.0}"
